,0,1,2,3,4,5,6,7,8,9
¿EN DONDE REALIZA PRINCIPALMENTE SU TRABAJO?__4. En una UTI,-0.06383398067537183,-0.04631241491942362,-0.3931778731965295,-0.2340636341274368,-0.18890687608751883,0.14926470461426367,0.06363158592588188,-0.03965498403043372,0.3031907647924755,0.0148049510750974
¿EN DONDE REALIZA PRINCIPALMENTE SU TRABAJO?__No_reporta,0.25136427759472335,0.13205587980216277,1.0511322794238045,-0.039044360423928226,0.06518565990356734,-0.1195375175485524,-0.17705821888905698,0.1809308954130653,-0.8458743767391292,-0.05228113333374002
¿EN DONDE REALIZA PRINCIPALMENTE SU TRABAJO?__Otros_¿EN DONDE REALIZA PR,0.6767134869792277,-0.4777474398705322,-0.3007025815584423,-0.07583450787761166,-0.045488965419222815,-0.2632732698139441,0.2626126881335932,0.3449064081699587,0.18482855541188045,0.9730888988459662
"INTERVENCIÓN DE NIÑO, NIÑA O ADOLESCENTE QUE TERMINA EL PROCESO__NO",-1.0456474239384304,-0.1585323280282547,-0.36040822085473745,0.16661754890209862,-0.05485686717802585,-0.08350050529251142,-0.23562084086086932,-0.08964869538566828,-0.10657661022495443,-0.2649362425521822
"INTERVENCIÓN DE NIÑO, NIÑA O ADOLESCENTE QUE TERMINA EL PROCESO__No_reporta",0.6806923025483504,0.23250758787219145,0.1561382847452338,0.015958068803642148,-0.007473290742207458,-0.047705830680993565,-0.017306553866232616,-0.0030972155324702688,-0.13480223819471066,0.0002548166315244941
"INTERVENCIÓN DE NIÑO, NIÑA O ADOLESCENTE QUE TERMINA EL PROCESO__Otros_INTERVENCIÓN DE NIÑO",-0.7779654605676023,-0.1977872983740647,2.9084937038599064,2.374091647251129,-0.05362627450901075,4.9078988063604445,0.9048014180253893,4.557604067037905,-0.06299598470410159,-0.23965456186350673
"INTERVENCIÓN DE NIÑO, NIÑA O ADOLESCENTE QUE TERMINA EL PROCESO__SI",-1.0150274205960415,-0.332899406957777,-0.5885215101011787,-0.0690050650207208,-0.012985727184631809,0.016319294107086376,0.039336279950150564,0.0017911933327871628,0.11241023486350683,0.06342482116653454
"INTERVENCIÓN DE NIÑO, NIÑA O ADOLESCENTE QUE TERMINA EL PROCESO__Si",-0.8469215765331897,-0.6915954327336797,4.080046922239649,0.19325343987410692,0.37953324301360364,0.6896433751480329,0.1290690489302565,-0.04990834167081109,1.609143510425835,-0.4441101906783101
NNA DESVINCULADO DE LA ACTIVIDAD LABORAL__NO,-0.23097241621099948,-0.44256395478430793,-0.47048996426396295,0.057740654898302886,0.1368454283833646,0.34297480051603046,0.08403476264794023,-0.4527026583327233,0.5676384617179698,-0.043207555368548686
NNA DESVINCULADO DE LA ACTIVIDAD LABORAL__No_reporta,0.07081092779929297,1.5523472050135967,0.5011451430849648,0.08576139474523932,-0.07254099386272639,-0.07927806789002492,-0.008994360613020703,0.05167152192194608,0.13430797135348022,0.08925802701725974
NNA DESVINCULADO DE LA ACTIVIDAD LABORAL__Otros_NNA DESVINCULADO DE ,-0.7527437443587535,-0.6561799634658766,3.6580956555764024,0.4566602396910026,0.4037147504684794,1.4537329450395984,0.5094672501775541,0.1779671870741645,1.5530525808525817,-0.5076498545875952
NNA DESVINCULADO DE LA ACTIVIDAD LABORAL__SI,0.06772604347887386,-0.4098156137612892,-0.2965759023145564,-0.04558740660586707,-0.02931656319207926,-0.06392482445530506,-0.014549694655132627,0.08108099721536567,-0.23207621376604692,-0.00048492272467948313
NNA DESVINCULADO DE LA ACTIVIDAD LABORAL__Si,-0.7836011491010638,-0.6256313421555839,3.8974314588690255,-0.04371342067742226,0.4716509764248645,0.038688501403556695,-0.14153678064741065,-0.17374494779012184,1.0856342319937817,-0.3364219715998361
EDAD_GRUPO__0-5_Primera_Infancia,-0.6563467369252322,0.2575514507309366,-0.4200572101731703,0.23925045527285477,-0.5928432846205197,-0.027903549498553087,-0.6226901436951017,0.11479412378845494,0.41156625732745183,0.19129110017140624
EDAD_GRUPO__11-14_Preadolescencia,-0.6556107479855301,0.4257886830332229,-0.36974675152937814,-0.109812715291722,0.0888616118121077,-0.03225044420014465,0.022284762010394085,0.09141072625030229,-0.26554636319496655,-0.07620646327841384
EDAD_GRUPO__15-18_Adolescencia,-0.6495623611261448,0.6775881429333499,-0.41344074755400934,-0.5499006153973094,1.6959302048655132,0.37186633130320096,1.9045805677894472,-0.6013134791899319,-0.34322002894846537,0.08175646962420643
EDAD_GRUPO__6-10_Infancia,-0.641400330411178,0.3122684871134372,-0.375401233817627,0.16163168724083907,-0.3794029684156483,-0.14518825767991353,-0.36762423184517784,0.12522781426043134,-0.029873494217745256,-0.02412994257406407
EDAD_GRUPO__No_reporta,0.834639292582207,-0.485346647720252,0.5020848241716871,-0.01655290608404433,0.032300731168667884,0.016361075862121162,0.021757985018207585,-0.015474646655374489,0.022242085617006455,-0.04413771301320282
UPZ_DENSIDAD__No_reporta,0.5311583731817641,1.9899895395521483,-0.01553776268360928,0.20002923208832052,-0.002823927267924012,-0.03262549670697311,-0.06198356911797336,0.04981372659312877,0.1327539527881332,0.022354959575902722
UPZ_DENSIDAD__UPZ_Alta_Densidad,-0.27194316056525814,-0.46521919223197084,0.0788207478650011,0.9648633246201371,0.38306585872526205,0.1494809598870273,-0.19150688683704098,-0.4631804932583643,-0.28349263609387537,0.6943484822162765
UPZ_DENSIDAD__UPZ_Baja_Densidad,0.021292856668127778,-0.40077891862306503,0.20622016369471247,-0.15788228851601352,-1.0881193660585087,0.27232503702313704,0.7140457762178468,-0.22038443968474286,-0.38471094405235995,0.19059977643676826
UPZ_DENSIDAD__UPZ_Media_Alta,-0.21130175190151707,-0.3975806231465874,-0.1036890433553528,-0.43451901978544977,0.5411170727178739,-0.5790401237175664,-0.21827592994886452,0.8554854608417061,0.24642190695997374,0.30730287158786657
UPZ_DENSIDAD__UPZ_Media_Baja,0.016345368422087274,-0.38257687220624675,-0.1565233289354686,-0.43239001260170645,0.1681001954412957,0.22908345493494175,-0.25763063148487036,-0.29947561290258634,0.27618501142510676,-1.1718027501844561
FASE_PROGRAMA__Fase_Prolongada_mas2a,0.46263971738133564,0.15484674099794524,-0.2061572310287803,0.019375409386833582,-0.003646581233406152,-0.009859045917172793,0.04101161341983126,-0.0031744514926379487,-0.03693871227635982,-0.012636038352069239
FASE_PROGRAMA__Fase_Seguimiento_6m-2a,-0.9564387009379381,-0.32012257106424435,0.42619936599953484,-0.04005577274899028,0.007538763505833705,0.020382108831645648,-0.08478540166126831,0.006562705595175831,0.07636528524593013,0.026123127030387612
