SEXO,ESTRATO,Localidad_fic,TIPO INTERVENCIÓN,NACIONALIDAD,ESTADO CIVIL,ETNIA,POBLACIÓN DIFERENCIAL Y DE INCLUSIÓN,OCUPACIÓN,CATEGORÍAS DE LA DISCAPACIDAD,VÍNCULO CON EL JEFE DE HOGAR,ZONA,BARRIO PRIORIZADO,MANZANA DEL CUIDADO,AFILIACIÓN AL SGSSS.1,¿EN DONDE REALIZA PRINCIPALMENTE SU TRABAJO?,"INTERVENCIÓN DE NIÑO, NIÑA O ADOLESCENTE QUE TERMINA EL PROCESO",NNA DESVINCULADO DE LA ACTIVIDAD LABORAL,EDAD_GRUPO,UPZ_DENSIDAD,FASE_PROGRAMA,CLUSTER,PERFIL_NOMBRE
1- Hombre,2. Bajo,Tunjuelito,5. Seguimiento al efecto,Colombia,6- No aplica,6- Ninguno,14- No Aplica,3- Estudiante,No aplica,Hijo(a),1- Urbana,NO,NO,2- Contributivo,No_reporta,No_reporta,SI,6-10_Infancia,UPZ_Media_Baja,Fase_Seguimiento_6m-2a,0,P1: Intervención Exitosa Documentada
2- Mujer,No_reporta,Los Mártires,No_reporta,Colombia,1- Soltero(a),6- Ninguno,14- No Aplica,2- Trabajo informal,No aplica,Hijo(a),No_reporta,No_reporta,No_reporta,5- No asegurado,4. En una UTI,No_reporta,No_reporta,15-18_Adolescencia,No_reporta,Fase_Prolongada_mas2a,3,P4: Casos Sin Cierre Documentado
2- Mujer,No_reporta,San Cristóbal,No_reporta,Colombia,6- No aplica,6- Ninguno,14- No Aplica,2- Trabajo informal,No aplica,Hijo(a),No_reporta,No_reporta,No_reporta,1- Subsidiado,4. En una UTI,No_reporta,No_reporta,6-10_Infancia,No_reporta,Fase_Prolongada_mas2a,3,P4: Casos Sin Cierre Documentado
1- Hombre,No_reporta,San Cristóbal,No_reporta,Colombia,6- No aplica,6- Ninguno,14- No Aplica,2- Trabajo informal,No aplica,Hijo(a),No_reporta,No_reporta,No_reporta,1- Subsidiado,4. En una UTI,No_reporta,No_reporta,6-10_Infancia,No_reporta,Fase_Prolongada_mas2a,3,P4: Casos Sin Cierre Documentado
1- Hombre,No_reporta,San Cristóbal,No_reporta,Colombia,6- No aplica,6- Ninguno,14- No Aplica,2- Trabajo informal,No aplica,Hijo(a),No_reporta,No_reporta,No_reporta,2- Contributivo,4. En una UTI,No_reporta,No_reporta,0-5_Primera_Infancia,No_reporta,Fase_Prolongada_mas2a,3,P4: Casos Sin Cierre Documentado
1- Hombre,No_reporta,Santa fe,No_reporta,Colombia,6- No aplica,6- Ninguno,14- No Aplica,2- Trabajo informal,No aplica,Hijo(a),No_reporta,No_reporta,No_reporta,1- Subsidiado,"2. En la calle, estacionario o ambulante",No_reporta,No_reporta,6-10_Infancia,No_reporta,Fase_Prolongada_mas2a,3,P4: Casos Sin Cierre Documentado
2- Mujer,No_reporta,Santa fe,No_reporta,Colombia,6- No aplica,6- Ninguno,14- No Aplica,2- Trabajo informal,No aplica,Hijo(a),No_reporta,No_reporta,No_reporta,1- Subsidiado,"2. En la calle, estacionario o ambulante",No_reporta,No_reporta,11-14_Preadolescencia,No_reporta,Fase_Prolongada_mas2a,3,P4: Casos Sin Cierre Documentado
2- Mujer,No_reporta,Santa fe,No_reporta,Colombia,1- Soltero(a),6- Ninguno,14- No Aplica,2- Trabajo informal,No aplica,Hijo(a),No_reporta,No_reporta,No_reporta,1- Subsidiado,"2. En la calle, estacionario o ambulante",No_reporta,No_reporta,11-14_Preadolescencia,No_reporta,Fase_Prolongada_mas2a,3,P4: Casos Sin Cierre Documentado
2- Mujer,No_reporta,Santa fe,No_reporta,Colombia,1- Soltero(a),6- Ninguno,14- No Aplica,2- Trabajo informal,No aplica,Hijo(a),No_reporta,No_reporta,No_reporta,1- Subsidiado,"2. En la calle, estacionario o ambulante",No_reporta,No_reporta,15-18_Adolescencia,No_reporta,Fase_Prolongada_mas2a,3,P4: Casos Sin Cierre Documentado
2- Mujer,No_reporta,Santa fe,No_reporta,Venezuela (Bolivarian Republic of),6- No aplica,6- Ninguno,14- No Aplica,2- Trabajo informal,No aplica,Hijo(a),No_reporta,No_reporta,No_reporta,1- Subsidiado,"2. En la calle, estacionario o ambulante",No_reporta,No_reporta,6-10_Infancia,No_reporta,Fase_Prolongada_mas2a,3,P4: Casos Sin Cierre Documentado
2- Mujer,No_reporta,Santa fe,No_reporta,Venezuela (Bolivarian Republic of),6- No aplica,6- Ninguno,14- No Aplica,2- Trabajo informal,No aplica,Hijo(a),No_reporta,No_reporta,No_reporta,1- Subsidiado,"2. En la calle, estacionario o ambulante",No_reporta,No_reporta,6-10_Infancia,No_reporta,Fase_Prolongada_mas2a,3,P4: Casos Sin Cierre Documentado
1- Hombre,No_reporta,Santa fe,No_reporta,Colombia,6- No aplica,6- Ninguno,14- No Aplica,2- Trabajo informal,No aplica,Hijo(a),No_reporta,No_reporta,No_reporta,1- Subsidiado,"2. En la calle, estacionario o ambulante",No_reporta,No_reporta,0-5_Primera_Infancia,No_reporta,Fase_Prolongada_mas2a,3,P4: Casos Sin Cierre Documentado
2- Mujer,No_reporta,Santa fe,No_reporta,Colombia,6- No aplica,6- Ninguno,14- No Aplica,2- Trabajo informal,No aplica,Hijo(a),No_reporta,No_reporta,No_reporta,5- No asegurado,"2. En la calle, estacionario o ambulante",No_reporta,No_reporta,0-5_Primera_Infancia,No_reporta,Fase_Prolongada_mas2a,3,P4: Casos Sin Cierre Documentado
1- Hombre,No_reporta,Santa fe,No_reporta,Colombia,6- No aplica,6- Ninguno,14- No Aplica,2- Trabajo informal,No aplica,Hijo(a),No_reporta,No_reporta,No_reporta,1- Subsidiado,"2. En la calle, estacionario o ambulante",No_reporta,No_reporta,11-14_Preadolescencia,No_reporta,Fase_Prolongada_mas2a,3,P4: Casos Sin Cierre Documentado
2- Mujer,No_reporta,Santa fe,No_reporta,Colombia,6- No aplica,6- Ninguno,14- No Aplica,2- Trabajo informal,No aplica,Hijo(a),No_reporta,No_reporta,No_reporta,1- Subsidiado,"2. En la calle, estacionario o ambulante",No_reporta,No_reporta,6-10_Infancia,No_reporta,Fase_Prolongada_mas2a,3,P4: Casos Sin Cierre Documentado
1- Hombre,No_reporta,Santa fe,No_reporta,Colombia,1- Soltero(a),6- Ninguno,14- No Aplica,2- Trabajo informal,No aplica,Hijo(a),No_reporta,No_reporta,No_reporta,1- Subsidiado,"2. En la calle, estacionario o ambulante",No_reporta,No_reporta,15-18_Adolescencia,No_reporta,Fase_Prolongada_mas2a,3,P4: Casos Sin Cierre Documentado
2- Mujer,No_reporta,Santa fe,No_reporta,Colombia,6- No aplica,6- Ninguno,14- No Aplica,2- Trabajo informal,No aplica,Hijo(a),No_reporta,No_reporta,No_reporta,1- Subsidiado,"2. En la calle, estacionario o ambulante",No_reporta,No_reporta,6-10_Infancia,No_reporta,Fase_Prolongada_mas2a,3,P4: Casos Sin Cierre Documentado
1- Hombre,No_reporta,Santa fe,No_reporta,Colombia,6- No aplica,6- Ninguno,14- No Aplica,2- Trabajo informal,No aplica,Hijo(a),No_reporta,No_reporta,No_reporta,1- Subsidiado,"2. En la calle, estacionario o ambulante",No_reporta,No_reporta,6-10_Infancia,No_reporta,Fase_Prolongada_mas2a,3,P4: Casos Sin Cierre Documentado
2- Mujer,No_reporta,Santa fe,No_reporta,Colombia,6- No aplica,6- Ninguno,14- No Aplica,2- Trabajo informal,No aplica,Hijo(a),No_reporta,No_reporta,No_reporta,1- Subsidiado,"2. En la calle, estacionario o ambulante",No_reporta,No_reporta,0-5_Primera_Infancia,No_reporta,Fase_Prolongada_mas2a,3,P4: Casos Sin Cierre Documentado
2- Mujer,No_reporta,San Cristóbal,No_reporta,Colombia,6- No aplica,6- Ninguno,14- No Aplica,2- Trabajo informal,No aplica,Hijo(a),No_reporta,No_reporta,No_reporta,2- Contributivo,4. En una UTI,No_reporta,No_reporta,6-10_Infancia,No_reporta,Fase_Prolongada_mas2a,3,P4: Casos Sin Cierre Documentado
1- Hombre,No_reporta,San Cristóbal,No_reporta,Colombia,6- No aplica,6- Ninguno,14- No Aplica,2- Trabajo informal,No aplica,Hijo(a),No_reporta,No_reporta,No_reporta,2- Contributivo,4. En una UTI,No_reporta,No_reporta,11-14_Preadolescencia,No_reporta,Fase_Prolongada_mas2a,3,P4: Casos Sin Cierre Documentado
1- Hombre,No_reporta,San Cristóbal,No_reporta,Colombia,6- No aplica,6- Ninguno,14- No Aplica,2- Trabajo informal,No aplica,Hijo(a),No_reporta,No_reporta,No_reporta,2- Contributivo,4. En una UTI,No_reporta,No_reporta,0-5_Primera_Infancia,No_reporta,Fase_Prolongada_mas2a,3,P4: Casos Sin Cierre Documentado
